done;agent2_344_msgs;agent2_344_drops;agent3_345_msgs;agent3_345_drops;agent4_346_msgs;agent4_346_drops;agent5_347_msgs;agent5_347_drops;agent2_344_acts;agent3_345_acts;agent4_346_acts;agent5_347_acts;world_nr;tick_nr
False;1;0;1;0;1;0;1;0;;;;;1;0
False;5;0;5;0;5;0;5;0;;;;;1;1
False;0;0;1;0;0;0;1;0;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;1;2
False;0;0;0;0;0;0;0;0;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;1;3
False;0;0;1;0;0;0;0;0;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;4
False;0;0;0;0;0;0;0;0;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;5
False;0;0;1;0;0;0;0;0;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;6
False;0;0;0;0;0;0;0;0;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;7
False;0;0;1;0;0;0;0;0;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;8
False;0;0;0;0;0;0;0;0;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;9
False;0;0;1;0;0;0;0;0;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;10
False;0;0;0;0;0;0;0;0;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;11
False;0;0;1;0;0;0;0;0;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;12
False;0;0;0;0;0;0;0;0;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;13
False;0;0;1;0;0;0;0;0;MoveSouthEast;MoveSouth;MoveSouthEast;MoveSouthEast;1;14
False;0;0;0;0;0;0;0;0;MoveSouthEast;MoveSouth;MoveSouthEast;MoveSouthEast;1;15
False;0;0;1;0;0;0;0;0;MoveEast;MoveSouth;MoveEast;MoveEast;1;16
False;0;0;0;0;0;0;0;0;MoveEast;MoveSouth;MoveEast;MoveEast;1;17
False;0;0;1;0;0;0;0;0;MoveEast;MoveSouth;MoveEast;MoveEast;1;18
False;0;0;0;0;0;0;0;0;MoveEast;MoveSouth;MoveEast;MoveEast;1;19
False;0;0;1;0;0;0;0;0;MoveEast;MoveSouth;MoveEast;MoveEast;1;20
False;0;0;0;0;0;0;0;0;MoveEast;MoveSouth;MoveEast;MoveEast;1;21
False;0;0;1;0;0;0;0;0;OpenDoorAction;MoveSouth;OpenDoorAction;MoveEast;1;22
False;0;0;0;0;0;0;0;0;OpenDoorAction;MoveSouth;OpenDoorAction;MoveEast;1;23
False;0;0;1;0;0;0;0;0;;MoveSouth;;MoveEast;1;24
False;0;0;0;0;0;0;0;0;MoveNorth;MoveSouth;MoveNorth;MoveEast;1;25
False;0;0;1;0;0;0;0;0;MoveNorth;MoveSouthEast;MoveNorth;MoveEast;1;26
False;0;0;0;0;0;0;0;0;MoveNorthEast;MoveSouthEast;MoveNorthEast;MoveEast;1;27
False;0;0;1;0;0;0;0;0;MoveNorthEast;MoveEast;MoveNorthEast;MoveEast;1;28
False;0;0;0;0;0;0;0;0;MoveWest;MoveEast;MoveWest;MoveEast;1;29
False;0;0;1;0;0;0;0;0;MoveWest;MoveEast;MoveWest;MoveEast;1;30
False;0;0;0;0;0;0;0;0;MoveWest;MoveEast;MoveWest;MoveEast;1;31
False;0;0;1;0;0;0;0;0;MoveWest;MoveEast;MoveWest;MoveEast;1;32
False;1;0;0;0;1;0;0;0;MoveWest;MoveEast;MoveWest;MoveEast;1;33
False;1;0;0;0;1;0;0;0;MoveWest;OpenDoorAction;MoveWest;MoveEast;1;34
False;1;0;0;0;1;0;0;0;MoveNorth;OpenDoorAction;MoveNorth;MoveEast;1;35
False;0;0;0;0;0;0;0;0;MoveNorth;;MoveNorth;MoveEast;1;36
False;0;0;0;0;0;0;0;0;MoveEast;MoveNorth;MoveEast;MoveEast;1;37
False;0;0;0;0;0;0;0;0;MoveEast;MoveNorth;MoveEast;MoveEast;1;38
False;1;0;0;0;1;0;0;0;MoveEast;MoveNorthEast;MoveEast;MoveEast;1;39
False;1;0;0;0;1;0;0;0;MoveEast;MoveNorthEast;MoveEast;MoveEast;1;40
False;1;0;1;0;1;0;0;0;MoveEast;MoveWest;MoveEast;MoveEast;1;41
False;0;0;1;0;0;0;0;0;MoveEast;MoveWest;MoveEast;MoveEast;1;42
False;1;0;2;0;1;0;0;0;;MoveWest;;MoveEast;1;43
False;0;0;1;0;0;0;0;0;MoveSouth;MoveWest;MoveSouth;MoveEast;1;44
False;0;0;2;0;0;0;0;0;MoveSouth;MoveWest;MoveSouth;MoveEast;1;45
False;0;0;1;0;0;0;0;0;MoveSouthWest;MoveWest;MoveSouthWest;OpenDoorAction;1;46
False;0;0;1;0;0;0;0;0;MoveSouthWest;MoveNorth;MoveSouthWest;OpenDoorAction;1;47
False;0;0;0;0;0;0;0;0;MoveSouthWest;MoveNorth;MoveSouthWest;;1;48
False;0;0;1;0;0;0;0;0;MoveSouthWest;MoveEast;MoveSouthWest;MoveNorth;1;49
False;0;0;1;0;0;0;0;0;MoveSouthWest;MoveEast;MoveSouthWest;MoveNorth;1;50
False;0;0;1;0;0;0;0;0;MoveSouthWest;MoveEast;MoveSouthWest;MoveNorthEast;1;51
False;0;0;0;0;0;0;0;0;MoveWest;MoveEast;MoveWest;MoveNorthEast;1;52
False;0;0;1;0;0;0;0;0;MoveWest;MoveEast;MoveWest;MoveWest;1;53
False;0;0;1;0;0;0;0;0;MoveSouthWest;MoveEast;MoveSouthWest;MoveWest;1;54
False;0;0;2;0;0;0;1;0;MoveSouthWest;;MoveSouthWest;MoveWest;1;55
False;0;0;0;0;0;0;1;0;MoveSouth;MoveSouth;MoveSouth;MoveWest;1;56
False;0;0;0;0;0;0;1;0;MoveSouth;MoveSouth;MoveSouth;MoveWest;1;57
False;0;0;1;0;0;0;0;0;MoveSouth;MoveSouthWest;MoveSouth;MoveWest;1;58
False;0;0;1;0;0;0;0;0;MoveSouth;MoveSouthWest;MoveSouth;MoveNorth;1;59
False;0;0;1;0;0;0;0;0;MoveSouth;MoveSouthWest;MoveSouth;MoveNorth;1;60
False;0;0;0;0;0;0;1;0;MoveSouth;MoveSouthWest;MoveSouth;MoveEast;1;61
False;0;0;0;0;0;0;1;0;MoveSouthEast;MoveSouthWest;MoveSouth;MoveEast;1;62
False;0;0;0;0;0;0;2;0;MoveSouthEast;MoveSouthWest;MoveSouth;MoveEast;1;63
False;0;0;0;0;0;0;1;0;MoveEast;MoveWest;MoveSouth;MoveEast;1;64
False;0;0;0;0;0;0;1;0;MoveEast;MoveWest;MoveSouth;MoveEast;1;65
False;0;0;0;0;0;0;0;0;MoveEast;MoveSouthWest;MoveSouth;MoveEast;1;66
False;0;0;0;0;0;0;2;0;MoveEast;MoveSouthWest;MoveSouth;;1;67
False;0;0;0;0;0;0;1;0;MoveEast;MoveSouth;MoveSouth;MoveSouthWest;1;68
False;0;0;0;0;0;0;1;0;MoveEast;MoveSouth;MoveSouth;MoveSouthWest;1;69
False;0;0;0;0;0;0;2;0;;MoveSouth;MoveSouth;MoveSouth;1;70
False;0;0;0;0;0;0;1;0;;MoveSouth;MoveSouth;MoveSouth;1;71
False;0;0;0;0;0;0;1;0;MoveNorth;MoveSouth;MoveSouth;MoveSouthWest;1;72
False;0;0;0;0;0;0;0;0;MoveNorth;MoveSouth;MoveSouth;MoveSouthWest;1;73
False;0;0;0;0;0;0;0;0;MoveNorthEast;MoveSouthEast;MoveSouthEast;MoveWest;1;74
False;0;0;0;0;0;0;0;0;MoveNorthEast;MoveSouthEast;MoveSouthEast;MoveWest;1;75
False;1;0;0;0;0;0;0;0;MoveWest;MoveEast;MoveEast;MoveWest;1;76
False;1;0;0;0;0;0;0;0;MoveWest;MoveEast;MoveEast;MoveWest;1;77
False;2;0;0;0;0;0;0;0;MoveWest;MoveEast;MoveEast;MoveWest;1;78
False;1;0;0;0;0;0;0;0;MoveWest;MoveEast;MoveEast;MoveWest;1;79
False;2;0;0;0;0;0;0;0;MoveWest;MoveEast;MoveEast;MoveWest;1;80
False;1;0;0;0;0;0;0;0;MoveWest;MoveEast;MoveEast;MoveWest;1;81
False;1;0;0;0;0;0;0;0;MoveNorth;MoveEast;MoveEast;MoveWest;1;82
False;0;0;0;0;0;0;0;0;MoveNorth;MoveEast;MoveEast;MoveWest;1;83
False;1;0;0;0;0;0;0;0;MoveEast;MoveEast;MoveEast;MoveWest;1;84
False;1;0;0;0;0;0;0;0;MoveEast;MoveEast;MoveEast;MoveWest;1;85
False;1;0;0;0;0;0;0;0;MoveEast;MoveEast;MoveEast;MoveWest;1;86
False;0;0;0;0;0;0;0;0;MoveEast;MoveEast;MoveEast;MoveWest;1;87
False;1;0;0;0;0;0;0;0;MoveEast;MoveEast;MoveEast;MoveWest;1;88
False;1;0;0;0;0;0;0;0;MoveEast;MoveEast;MoveEast;MoveWest;1;89
False;2;0;0;0;0;0;0;0;;MoveEast;MoveEast;MoveWest;1;90
False;0;0;0;0;0;0;0;0;MoveSouth;MoveEast;MoveEast;MoveWest;1;91
False;0;0;0;0;0;0;0;0;MoveSouth;MoveEast;MoveEast;MoveWest;1;92
False;1;0;0;0;0;0;0;0;MoveSouthWest;MoveEast;MoveEast;MoveWest;1;93
False;1;0;0;0;0;0;0;0;MoveSouthWest;OpenDoorAction;OpenDoorAction;MoveWest;1;94
False;1;0;0;0;0;0;0;0;MoveSouthWest;OpenDoorAction;OpenDoorAction;MoveWest;1;95
False;0;0;0;0;0;0;0;0;MoveSouthWest;;;;1;96
False;0;0;0;0;0;0;0;0;MoveSouthWest;MoveNorth;MoveNorth;;1;97
False;0;0;0;0;0;0;0;0;MoveSouthWest;MoveNorth;MoveNorth;MoveNorth;1;98
False;0;0;0;0;0;0;0;0;MoveWest;MoveNorthEast;MoveNorthEast;MoveNorth;1;99
False;0;0;0;0;0;0;0;0;MoveWest;MoveNorthEast;MoveNorthEast;MoveNorthEast;1;100
False;0;0;0;0;0;0;0;0;MoveSouthWest;MoveWest;MoveWest;MoveNorthEast;1;101
False;0;0;0;0;0;0;0;0;MoveSouthWest;MoveWest;MoveWest;MoveWest;1;102
False;0;0;0;0;0;0;0;0;MoveSouth;MoveWest;MoveWest;MoveWest;1;103
False;0;0;0;0;0;0;0;0;MoveSouth;MoveWest;MoveWest;MoveWest;1;104
False;0;0;1;0;1;0;0;0;MoveSouth;MoveWest;MoveWest;MoveWest;1;105
False;0;0;1;0;1;0;1;0;MoveSouth;MoveWest;MoveWest;MoveWest;1;106
False;0;0;1;0;1;0;1;0;MoveSouth;MoveNorth;MoveNorth;MoveWest;1;107
False;0;0;0;0;0;0;1;0;MoveSouth;MoveNorth;MoveNorth;MoveNorth;1;108
False;0;0;1;0;1;0;0;0;MoveSouthEast;MoveEast;MoveEast;MoveNorth;1;109
False;0;0;1;0;1;0;0;0;MoveSouthEast;MoveEast;MoveEast;MoveEast;1;110
False;0;0;1;0;1;0;0;0;MoveEast;MoveEast;MoveEast;MoveEast;1;111
False;0;0;0;0;0;0;1;0;MoveEast;MoveEast;MoveEast;MoveEast;1;112
False;0;0;1;0;1;0;1;0;MoveEast;MoveEast;MoveEast;MoveEast;1;113
False;0;0;1;0;1;0;1;0;MoveEast;MoveEast;MoveEast;MoveEast;1;114
