done;agent2_344_msgs;agent2_344_drops;agent3_345_msgs;agent3_345_drops;human1_346_msgs;human1_346_drops;agent2_344_acts;agent3_345_acts;human1_346_acts;world_nr;tick_nr
False;0;0;0;0;0;0;;;;1;0
False;0;0;0;0;0;0;MoveSouth;MoveSouth;;1;1
False;0;0;0;0;0;0;MoveSouth;MoveSouth;;1;2
False;0;0;0;0;0;0;MoveNorth;MoveEast;;1;3
False;0;0;0;0;0;0;MoveNorth;MoveEast;;1;4
False;0;0;0;0;0;0;MoveEast;MoveNorth;;1;5
False;0;0;0;0;0;0;MoveEast;MoveNorth;;1;6
False;0;0;0;0;0;0;MoveSouth;MoveEast;;1;7
False;0;0;0;0;0;0;MoveSouth;MoveEast;;1;8
False;0;0;0;0;0;0;MoveWest;MoveNorth;;1;9
False;0;0;0;0;0;0;MoveWest;MoveNorth;;1;10
False;0;0;0;0;0;0;MoveSouth;MoveSouth;;1;11
False;0;0;0;0;0;0;MoveSouth;MoveSouth;;1;12
False;0;0;0;0;0;0;MoveWest;MoveSouth;;1;13
False;0;0;0;0;0;0;MoveWest;MoveSouth;;1;14
False;0;0;0;0;0;0;MoveSouth;MoveSouth;;1;15
False;0;0;0;0;0;0;MoveSouth;MoveSouth;;1;16
False;0;0;0;0;0;0;MoveSouth;MoveWest;;1;17
False;0;0;0;0;0;0;MoveSouth;MoveWest;;1;18
False;0;0;0;0;0;0;MoveNorth;MoveWest;;1;19
False;0;0;0;0;0;0;MoveNorth;MoveWest;;1;20
False;0;0;0;0;0;0;MoveWest;MoveEast;;1;21
False;0;0;0;0;0;0;MoveWest;MoveEast;;1;22
False;0;0;0;0;0;0;MoveEast;MoveNorth;;1;23
False;0;0;0;0;0;0;MoveEast;MoveNorth;;1;24
False;0;0;0;0;0;0;MoveSouth;MoveEast;;1;25
False;0;0;0;0;0;0;MoveSouth;MoveEast;;1;26
False;0;0;0;0;0;0;MoveEast;MoveEast;;1;27
False;0;0;0;0;0;0;MoveEast;MoveEast;;1;28
False;0;0;0;0;0;0;MoveNorth;MoveSouth;;1;29
False;0;0;0;0;0;0;MoveNorth;MoveSouth;;1;30
False;0;0;0;0;0;0;MoveEast;MoveSouth;;1;31
False;0;0;0;0;0;0;MoveEast;MoveSouth;;1;32
